Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
066970,KR7066970005,엘앤에프,KOSPI,,107100,1,100,0.09,108100,108600,105100,282171,30227008350,4306417743600,40209316,STK
0009K0,KR70009K0001,에임드바이오,KOSDAQ,기술성장기업부,67100,2,-3300,-4.69,69000,71000,66300,1717960,116362269600,4304878403100,64156161,KSQ
036570,KR7036570000,엔씨소프트,KOSPI,,198400,1,3900,2.01,195300,199500,195000,74697,14770423900,4274333964800,21544022,STK
251270,KR7251270005,넷마블,KOSPI,,49600,1,450,0.92,49900,50100,49350,98414,4883473100,4263293699200,85953502,STK
271560,KR7271560005,오리온,KOSPI,,106800,1,800,0.75,107000,107300,106000,85906,9146604050,4222458897600,39536132,STK
062040,KR7062040001,산일전기,KOSPI,,136200,1,2700,2.02,135100,137500,135100,147021,20047705300,4146636240000,30445200,STK
214450,KR7214450009,파마리서치,KOSDAQ GLOBAL,우량기업부,395500,1,14000,3.67,394500,404500,389000,123253,49178709000,4109105784000,10389648,KSQ
011790,KR7011790003,SKC,KOSPI,,108400,1,4400,4.23,106000,108600,105200,142950,15366282400,4104923503200,37868298,STK
004020,KR7004020004,현대제철,KOSPI,,30650,1,100,0.33,30650,30650,30250,287904,8780673325,4090113310250,133445785,STK
108490,KR7108490004,로보티즈,KOSDAQ,기술성장기업부,280500,3,0,0.0,282000,288000,273500,551863,155485129750,4086909684000,14570088,KSQ
022100,KR7022100002,포스코DX,KOSPI,,26700,1,1000,3.89,26150,26900,25800,456255,12107358775,4059327264300,152034729,STK
051900,KR7051900009,LG생활건강,KOSPI,,263500,2,-500,-0.19,264500,265000,262500,39247,10326585000,4032197946500,15302459,STK
450080,KR7450080007,에코프로머티,KOSPI,,57100,1,2100,3.82,56100,57400,55100,170147,9644344700,4028904853400,70558754,STK
035250,KR7035250000,강원랜드,KOSPI,,18720,1,170,0.92,18550,18750,18510,444260,8283918240,4004966160000,213940500,STK
347850,KR7347850000,디앤디파마텍,KOSDAQ,기술성장기업부,91900,2,-400,-0.43,94000,94100,90200,1047992,96024310900,4000906017000,43535430,KSQ
302440,KR7302440003,SK바이오사이언스,KOSPI,,51000,3,0,0.0,51700,51800,50800,64627,3303286700,3996826395000,78369145,STK
111770,KR7111770004,영원무역,KOSPI,,88500,2,-500,-0.56,90500,90900,87800,50223,4441011250,3921564918000,44311468,STK
310210,KR7310210000,보로노이,KOSDAQ,기술성장기업부,208000,2,-7000,-3.26,215000,217500,206000,127526,26881398000,3825769168000,18393121,KSQ
036460,KR7036460004,한국가스공사,KOSPI,,40900,1,300,0.74,40950,41050,40500,213419,8701913800,3775601700000,92313000,STK
002380,KR7002380004,KCC,KOSPI,,419500,1,3500,0.84,424500,424500,414000,28883,12045760750,3727874584500,8886471,STK
214150,KR7214150005,클래시스,KOSDAQ GLOBAL,우량기업부,56100,2,-1600,-2.77,57800,57900,55800,161767,9139703250,3674867469900,65505659,KSQ
082740,KR7082740002,한화엔진,KOSPI,,43350,1,1100,2.6,43300,44600,42550,921823,40390437750,3617433605700,83447142,STK
214370,KR7214370009,케어젠,KOSDAQ,벤처기업부,66100,2,-1700,-2.51,68000,68300,65200,127168,8428155550,3550561500000,53715000,KSQ
052690,KR7052690005,한전기술,KOSPI,,92700,1,2900,3.23,90800,93500,90800,177590,16464278850,3542994000000,38220000,STK
031210,KR7031210008,서울보증보험,KOSPI,,50100,2,-100,-0.2,50200,50400,49900,46227,2315608375,3498062059800,69821598,STK
017800,KR7017800004,현대엘리베이터,KOSPI,,89200,1,500,0.56,90100,90300,89000,202873,18158127050,3487040742000,39092385,STK
011780,KR7011780004,금호석유화학,KOSPI,,124800,2,-1600,-1.27,126400,126400,124100,64350,8040986450,3248761401600,26031742,STK
097950,KR7097950000,CJ제일제당,KOSPI,,211500,1,1500,0.71,210500,211500,209500,45427,9561430000,3183960339000,15054186,STK
039030,KR7039030002,이오테크닉스,KOSDAQ GLOBAL,우량기업부,257000,1,9000,3.63,255000,258500,253500,78644,20185852750,3166124350000,12319550,KSQ
011170,KR7011170008,롯데케미칼,KOSPI,,73300,1,2100,2.95,72300,74400,71200,126749,9306082750,3135438212700,42775419,STK
071970,KR7071970008,HD현대마린엔진,KOSPI,,91200,1,6200,7.29,87800,95600,87100,769433,71412582500,3093640344000,33921495,STK
240810,KR7240810002,원익IPS,KOSDAQ GLOBAL,우량기업부,63000,1,5400,9.38,59300,63700,59000,811049,50245386250,3092285763000,49083901,KSQ
